,product_id,product_lvl1_cat_desc,product_lvl2_cat_desc
695,99705,BabyAndChild,BabyPersonal
696,99775,BabyAndChild,BabyPersonal
697,103157,BabyAndChild,BabyPersonal
698,103158,BabyAndChild,BabyPersonal
699,109831,BabyAndChild,BabyPersonal
700,114555,BabyAndChild,BabyPersonal
701,114557,BabyAndChild,BabyPersonal
702,116275,BabyAndChild,BabyPersonal
703,117111,BabyAndChild,BabyPersonal
704,117113,BabyAndChild,BabyPersonal
705,117114,BabyAndChild,BabyPersonal
706,119030,BabyAndChild,BabyPersonal
707,119033,BabyAndChild,BabyPersonal
708,119038,BabyAndChild,BabyPersonal
709,121357,BabyAndChild,BabyPersonal
710,126469,BabyAndChild,BabyPersonal
711,128497,BabyAndChild,BabyPersonal
712,138259,BabyAndChild,BabyPersonal
713,156073,BabyAndChild,BabyPersonal
714,161543,BabyAndChild,BabyPersonal
715,161544,BabyAndChild,BabyPersonal
716,162325,BabyAndChild,BabyPersonal
717,167434,BabyAndChild,BabyPersonal
718,167451,BabyAndChild,BabyPersonal
719,174884,BabyAndChild,BabyPersonal
720,190289,BabyAndChild,BabyPersonal
721,192282,BabyAndChild,BabyPersonal
722,192621,BabyAndChild,BabyPersonal
723,196793,BabyAndChild,BabyPersonal
724,197863,BabyAndChild,BabyPersonal
725,197864,BabyAndChild,BabyPersonal
726,203047,BabyAndChild,BabyPersonal
727,203050,BabyAndChild,BabyPersonal
728,205297,BabyAndChild,BabyPersonal
729,208368,BabyAndChild,BabyPersonal
730,213380,BabyAndChild,BabyPersonal
731,213384,BabyAndChild,BabyPersonal
732,214102,BabyAndChild,BabyPersonal
733,220697,BabyAndChild,BabyPersonal
734,232498,BabyAndChild,BabyPersonal
735,101903,BabyAndChild,ClothingAndAccessories
736,118044,BabyAndChild,ClothingAndAccessories
737,120280,BabyAndChild,ClothingAndAccessories
738,131290,BabyAndChild,ClothingAndAccessories
739,131298,BabyAndChild,ClothingAndAccessories
740,131299,BabyAndChild,ClothingAndAccessories
741,133454,BabyAndChild,ClothingAndAccessories
742,167962,BabyAndChild,ClothingAndAccessories
743,558,BabyAndChild,DiaperingAndPottyTraining
744,1071,BabyAndChild,DiaperingAndPottyTraining
745,2297,BabyAndChild,DiaperingAndPottyTraining
746,3263,BabyAndChild,DiaperingAndPottyTraining
747,3834,BabyAndChild,DiaperingAndPottyTraining
748,7004,BabyAndChild,DiaperingAndPottyTraining
749,7445,BabyAndChild,DiaperingAndPottyTraining
750,8046,BabyAndChild,DiaperingAndPottyTraining
751,9548,BabyAndChild,DiaperingAndPottyTraining
752,10066,BabyAndChild,DiaperingAndPottyTraining
753,13351,BabyAndChild,DiaperingAndPottyTraining
754,14028,BabyAndChild,DiaperingAndPottyTraining
755,14337,BabyAndChild,DiaperingAndPottyTraining
756,14468,BabyAndChild,DiaperingAndPottyTraining
757,14549,BabyAndChild,DiaperingAndPottyTraining
758,15022,BabyAndChild,DiaperingAndPottyTraining
759,18351,BabyAndChild,DiaperingAndPottyTraining
760,20002,BabyAndChild,DiaperingAndPottyTraining
761,20339,BabyAndChild,DiaperingAndPottyTraining
762,21671,BabyAndChild,DiaperingAndPottyTraining
763,22458,BabyAndChild,DiaperingAndPottyTraining
764,23428,BabyAndChild,DiaperingAndPottyTraining
